case,city,birth_date,birth_time,pID,promissor,asp,sID,significator,astro_arc,horosa_arc,arc_abs_err,astro_dirJD,horosa_dirJD,date_abs_err_days,astro_date,horosa_date,prom_key,sig_key
case_0001,,2006-10-04,09:58:00.000,0,Sun,60.0,1,Moon,81.73186390843728,81.73186768654921,3.778111931751482e-06,2483865.4441349325,2483865.445517721,0.0013827886432409286,6/27/2088 22:40:0,2088-06-27 22:41:32,S_Sun_60,N_Moon_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,90.0,1,Moon,49.203298275678094,49.20330205762809,3.781949999392964e-06,2471983.9891133425,2471983.990497536,0.001384193543344736,12/17/2055 11:44:0,2055-12-17 11:46:18,S_Sun_90,N_Moon_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,120.0,1,Moon,17.689284834990815,17.6892885982611,3.763270285617182e-06,2460473.8601940507,2460473.861571408,0.0013773571699857712,6/12/2024 8:39:0,2024-06-12 08:40:39,S_Sun_120,N_Moon_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,-60.0,2,Mercury,76.64990464453149,76.64990459178853,5.274296199786477e-08,2482008.797139698,2482008.797120447,1.9251368939876556e-05,5/29/2083 7:8:0,2083-05-29 07:07:51,D_Sun_60,N_Mercury_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,0.0,2,Mercury,19.968030260767023,19.968030185923226,7.484379693778465e-08,2461305.9129896243,2461305.9129623063,2.7318019419908524e-05,9/22/2026 9:55:0,2026-09-22 09:54:39,N_Sun_0,N_Mercury_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,60.0,2,Mercury,-39.30751628202199,-39.307516319923366,3.790137270698324e-08,2468369.8253873824,2468369.8254012163,1.3833865523338318e-05,1/24/2046 7:49:0,2046-01-24 07:48:34,S_Sun_60,N_Mercury_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,90.0,2,Mercury,-71.83608191478118,-71.83608194884451,3.406333348721091e-08,2480250.7518433393,2480250.7518557725,1.2433156371116638e-05,8/5/2078 6:3:0,2078-08-05 06:02:40,S_Sun_90,N_Mercury_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,-90.0,3,Venus,83.10349340967242,83.10349334979378,5.987864426515443e-08,2484366.3570389748,2484366.357017119,2.1855812519788742e-05,11/10/2089 20:34:0,2089-11-10 20:34:06,D_Sun_90,N_Venus_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,-60.0,3,Venus,51.589479968985074,51.58947989042676,7.855831540837244e-08,2472855.742133124,2472855.74210445,2.867402508854866e-05,5/7/2058 5:49:0,2058-05-07 05:48:37,D_Sun_60,N_Venus_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,0.0,3,Venus,-5.092394414779392,-5.092394515438514,1.0065912192658288e-07,2455872.3059058385,2455872.3983370946,0.09243125608190894,11/6/2011 19:21:0,2011-11-06 21:33:36,N_Sun_0,N_Venus_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,60.0,3,Venus,-64.36794095756841,-64.3679410212851,6.371669769578148e-08,2477522.880393957,2477522.8804172133,2.3256521672010422e-05,2/15/2071 9:8:0,2071-02-15 09:07:48,S_Sun_60,N_Venus_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,90.0,3,Venus,-96.89650659032759,-96.89650665020625,5.987865847600915e-08,2489402.8068499137,2489402.8068717695,2.1855812519788742e-05,8/27/2103 7:22:0,2103-08-27 07:21:53,S_Sun_90,N_Venus_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,-90.0,4,Mars,94.1494214348184,94.14942148893516,5.411676795574749e-08,2488400.120768153,2488400.1207879055,1.9752420485019684e-05,11/27/2100 14:54:0,2100-11-27 14:53:56,D_Sun_90,N_Mars_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,-60.0,4,Mars,62.63540799413104,62.63540802956814,3.543709681252949e-08,2476890.505862302,2476890.505875237,1.2934673577547073e-05,5/24/2069 0:8:0,2069-05-24 00:08:27,D_Sun_60,N_Mars_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,0.0,4,Mars,5.953533610366577,5.953533623702867,1.3336290294319042e-08,2456186.621712228,2456187.5752507197,0.9535384918563068,9/16/2012 2:55:0,2012-09-17 01:48:21,N_Sun_0,N_Mars_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,60.0,4,Mars,-53.32201293242244,-53.322012882143724,5.027871452512045e-08,2473488.1166647784,2473488.438659309,0.32199453050270677,1/29/2060 14:48:0,2060-01-29 22:31:40,S_Sun_60,N_Mars_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,90.0,4,Mars,-85.85057856518162,-85.85057851106487,5.4116753744892776e-08,2485369.0431207353,2485369.893679494,0.850558758713305,8/9/2092 13:2:0,2092-08-10 09:26:53,S_Sun_90,N_Mars_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,-60.0,5,Jupiter,93.70488375115843,93.7048812964772,2.4546812369408144e-06,2488237.864513617,2488237.8636176586,0.0008959583938121796,6/18/2100 8:45:0,2100-06-18 08:43:36,D_Sun_60,N_Jupiter_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,0.0,5,Jupiter,37.02300936739397,37.023006890611924,2.476782043459025e-06,2467534.980363543,2467535.002466408,0.022102864924818277,10/12/2043 11:32:0,2043-10-12 12:03:33,N_Sun_0,N_Jupiter_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,60.0,5,Jupiter,-22.252537175395048,-22.252539615234667,2.4398396192282235e-06,2462141.0105506387,2462140.758904005,0.25164663372561336,1/4/2029 12:15:0,2029-01-04 06:12:49,S_Sun_60,N_Jupiter_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,90.0,5,Jupiter,-54.78110280815423,-54.78110524415581,2.436001580008451e-06,2474022.4655722287,2474021.685358561,0.7802136675454676,7/16/2061 23:10:0,2061-07-16 04:26:54,S_Sun_90,N_Jupiter_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,120.0,5,Jupiter,-86.29511624884151,-86.2951187035228,2.4546812937842333e-06,2485532.5944915204,2485532.30027123,0.2942202906124294,1/20/2093 2:16:0,2093-01-19 19:12:23,S_Sun_120,N_Jupiter_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,-120.0,6,Saturn,75.23234222308409,75.23237829111861,3.6068034518166314e-05,2481491.38685587,2481491.4000207023,0.013164832256734371,12/27/2081 21:17:0,2081-12-27 21:36:01,D_Sun_120,N_Saturn_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,-90.0,6,Saturn,42.70377659032498,42.70381266219752,3.607187254317523e-05,2469610.4603999127,2469610.473566146,0.01316623343154788,6/17/2049 23:3:0,2049-06-17 23:21:56,D_Sun_90,N_Saturn_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,-60.0,6,Saturn,11.189763149637628,11.1897992028305,3.6053192872032014e-05,2458099.845494062,2458099.8586534774,0.01315941521897912,12/12/2017 8:18:0,2017-12-12 08:36:27,D_Sun_60,N_Saturn_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,0.0,6,Saturn,-45.49211123412684,-45.49207520303477,3.6031092065513803e-05,2470628.2025449006,2470628.681468755,0.4789238544180989,3/31/2052 16:52:0,2052-04-01 04:21:18,N_Sun_0,N_Saturn_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,60.0,7,Uranus,94.27809276593854,94.27806346437148,2.930156705360787e-05,2488447.0858040117,2488447.07510894,0.010695071890950203,1/13/2101 14:4:0,2101-01-13 13:48:09,S_Sun_60,N_Uranus_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,90.0,7,Uranus,61.749527133179356,61.74949783545037,2.9297728985966387e-05,2476566.159348055,2476566.898152219,0.7388041643425822,7/3/2068 15:49:0,2068-07-04 09:33:20,S_Sun_90,N_Uranus_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,120.0,7,Uranus,30.235513692492077,30.235484376083377,2.931640869974217e-05,2465056.544442204,2465056.5337417144,0.010700489394366741,12/29/2036 1:4:0,2036-12-29 00:48:35,S_Sun_120,N_Uranus_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,60.0,8,Neptune,70.59861478070297,70.59861889026766,4.109564684995348e-06,2479799.6749541815,2479799.077839392,0.5971147897653282,5/11/2077 4:12:0,2077-05-10 13:52:05,S_Sun_60,N_Neptune_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,90.0,8,Neptune,38.07004914794379,38.070053261346516,4.1134027242151205e-06,2467918.2199325915,2467918.1513848356,0.06854775594547391,10/29/2044 17:17:0,2044-10-29 15:37:59,S_Sun_90,N_Neptune_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,120.0,8,Neptune,6.5560357072565125,6.556039801979523,4.094723010439338e-06,2456408.0910133,2456407.536472167,0.5545411333441734,4/25/2013 14:11:0,2013-04-25 00:52:31,S_Sun_120,N_Neptune_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,0.0,9,Pluto,74.2666676375863,74.26665401708979,1.362049650310837e-05,2481138.915632163,2481138.910660682,0.004971481394022703,1/9/2081 9:59:0,2081-01-09 09:51:21,N_Sun_0,N_Pluto_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,60.0,9,Pluto,14.991121094797279,14.9911075112432,1.3583554078877569e-05,2459488.3411440453,2459488.336186048,0.004957997240126133,9/30/2021 20:11:0,2021-09-30 20:04:06,S_Sun_60,N_Pluto_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,90.0,9,Pluto,-17.537444537961903,-17.537458117677943,1.3579716039657797e-05,2460418.2866453384,2460418.2916155146,0.00497017614543438,4/17/2024 18:53:0,2024-04-17 18:59:55,S_Sun_90,N_Pluto_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,120.0,9,Pluto,-49.05145797864918,-49.051471577044936,1.3598395753433579e-05,2471928.4155646297,2471928.4205416427,0.004977012984454632,10/22/2055 21:58:0,2055-10-22 22:05:34,S_Sun_120,N_Pluto_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,90.0,10,North Node,74.06478050835443,74.06481286112273,3.235276830082512e-05,2481065.2268299935,2481065.238638754,0.011808760464191437,10/27/2080 17:27:0,2080-10-27 17:43:38,S_Sun_90,N_North Node_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,120.0,10,North Node,42.55076706766715,42.55079804176154,3.0974094386237994e-05,2469554.6119241426,2469554.623229687,0.011305544525384903,4/23/2049 2:41:0,2049-04-23 02:57:27,S_Sun_120,N_North Node_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,0.0,24,Asc,-59.15367529729633,-59.1540078929288,0.0003325956324715662,2475618.673427957,2475618.7948253634,0.12139740632846951,11/29/2065 4:10:0,2065-11-29 07:04:32,N_Sun_0,N_Asc_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,60.0,24,Asc,11.600785017239303,11.601088614344889,0.0003035971055851405,2458249.8684757366,2458249.97928868,0.1108129434287548,5/11/2018 8:51:0,2018-05-11 11:30:10,S_Sun_60,N_Asc_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,90.0,24,Asc,44.82017297087006,44.82083122368178,0.0006582528117178299,2470382.9450788116,2470383.185341088,0.2402622764930129,7/30/2051 10:41:0,2051-07-30 16:26:53,S_Sun_90,N_Asc_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,120.0,24,Asc,72.52439987273087,72.52493926300903,0.0005393902781634097,2480502.5122978636,2480502.1847754424,0.32752242125570774,4/14/2079 0:18:0,2079-04-13 16:26:04,S_Sun_120,N_Asc_0
case_0001,,2006-10-04,09:58:00.000,0,Sun,0.0,25,MC,28.304640149083042,28.304622884546887,1.726453615447099e-05,2464350.7755988594,2464350.7692973036,0.006301555782556534,1/23/2035 6:37:0,2035-01-23 06:27:47,N_Sun_0,N_MC_0
